用途,参数,单位,取值,来源,状态,进入的计算
能耗,PUE-先进液冷,,1.15,—,情景值,全站能耗 = 整机能耗 × PUE
能耗,PUE-良好风冷(基准),,1.3,—,情景值,同上
能耗,PUE-一般机房,,1.5,—,情景值,同上
能耗,非GPU部件功率,kW,见表1,部件估算,⚠️待PDU实测,GPU-only→整机的修正项
能耗,PSU效率,—,0.94,80Plus Titanium典型,估计值,整机功率 = (P_GPU+P_nonGPU)/η_PSU
碳,电网因子-绿电为主,kgCO2e/kWh,0.05,—,情景值,运行碳 = 全站能耗 × EF
碳,电网因子-全国均值(基准),kgCO2e/kWh,0.5703,生态环境部公布全国电力平均CO2排放因子 0.5703 tCO2/MWh,权威值,同上
碳,电网因子-煤电密集,kgCO2e/kWh,0.85,—,情景值,同上
碳,材料碳强度 k_mat,kgCO2e/kg,30,"区间[20, 45]",⚠️估计值,隐含碳 = 整机质量 × k_mat
成本,工业电价,元/kWh,0.6,IDC综合电价,可调,电费 = 全站能耗 × 电价
成本,设备寿命,年,5,行业惯例,可调,折旧分母
成本,年利用率,—,0.7,行业惯例,⚠️敏感参数,寿命内Token数 = 吞吐×31536000×寿命×利用率
成本,年运维率,占购置价,0.05,行业惯例,可调,运维 = 购置价×运维率×寿命/寿命内Token数
负载,W1文本-请求数,,256,PPT幻灯片5,PPT给定,lm-arena-chat
负载,W1文本-max_output,tok,1024,PPT幻灯片5,PPT给定,同上
负载,W1文本-批大小,,256,沿用PPT,建议值,四台一致
负载,W3代码-请求数,,1024,PPT幻灯片5,PPT给定,sourcegraph-fim
负载,W3代码-max_output,tok,2048,PPT幻灯片5,PPT给定,同上
负载,W3代码-批大小,,128,显存约束,⚠️必须降至128,640GB平台跑不了bs=256
测量栈,推理引擎,,vLLM 0.19.1 (Docker),PPT幻灯片6,必须一致,否则PPT锚定行失效
测量栈,能耗测量库,,Zeus 0.13.1,PPT幻灯片6,必须一致,GPU-only口径
测量栈,Benchmark框架,,ml-energy/benchmark v3.0,PPT幻灯片6,必须一致,—
测量栈,Tokenizer,,transformers 5.5.4,PPT幻灯片6,必须一致,影响token计数
